Year,Month,Time Period,Survey Sequence,Zone,Atlantic Brant,Canada Goose,Snow Goose,Greater White-fronted Goose,American Black Duck,Mallard,Northern Pintail,American Green-winged Teal,Blue-winged Teal,Gadwall,American Wigeon,Northern Shoveler,Wood Duck,Canvasback,Redhead,Scaup,Ring-necked Duck,Common Merganser,Red-breasted Merganser,Hooded Merganser,Mergansers,Ruddy Duck,White-winged Scoter,Surf Scoter,Black Scoter,Scoters,Bufflehead,Common Goldeneye,Long-tailed Duck,Mute Swan,Tundra Swan,American Coot
1974,October,,1,11,0,2500,15,0,35,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1974,November,,2,1,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,5994,0,0,0,0,3,0,0,0,0,0
1974,November,,2,2,0,0,0,0,200,3175,325,0,0,0,0,100,0,0,3,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0
1974,November,,2,3,0,13419,0,0,533,253,165,440,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974,November,,2,4,0,981,0,0,156,172,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974,November,,2,5,0,8866,2300,0,1805,1228,1389,5191,0,94,38,375,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974,November,,2,6,0,5427,1,0,1362,1483,1145,8115,0,550,0,150,0,10,0,300,0,0,0,0,50,0,0,0,0,0,0,0,0,4,0,0
1974,November,,2,7,0,1223,0,0,609,35,9,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974,November,,2,8,0,3007,500,0,457,75,0,350,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974,November,,2,9,0,1800,8,0,90,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,51,53,0,0,14,0,0
1974,November,,2,10,170,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0
1974,November,,2,11,0,2000,0,0,202,30,10,10,0,0,0,10,0,50,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,22,8,0
1974,December,,3,1,0,0,0,0,387,364,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,1298,0,0,0,0,0,0,0,0,0,0
1974,December,,3,2,0,2025,0,0,377,1844,0,0,0,0,0,50,50,75,0,100,0,0,0,0,2,436,0,0,0,0,0,0,0,0,0,0
1974,December,,3,3,0,8300,0,0,282,733,975,0,0,0,5,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,84,0
1974,December,,3,4,0,3565,0,0,198,98,75,300,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0
1974,December,,3,5,0,22152,3175,0,4831,1205,2146,1743,0,15,0,290,0,0,0,1126,0,0,0,0,12,5,0,0,0,0,0,0,0,0,0,0
1974,December,,3,6,0,7728,0,0,1245,956,185,940,0,467,50,1302,0,0,0,740,0,0,0,0,12,35,0,0,0,0,27,0,0,0,7,0
1974,December,,3,7,0,2260,0,0,679,227,10,0,0,0,0,0,0,0,0,175,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
1974,December,,3,8,0,2644,0,0,796,243,315,900,0,12,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0
1974,December,,3,9,250,1240,0,0,10,150,0,0,0,0,0,0,0,250,0,0,5,0,0,0,55,0,0,0,0,56,66,0,0,0,0,0
1974,December,,3,10,150,50,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,5,73,0,0,0,0,0
1974,December,,3,11,0,760,0,0,394,160,200,0,0,30,0,0,25,825,0,0,0,0,0,0,0,201,0,0,0,0,7,20,0,2,0,0
1975,January,,4,1,0,0,0,0,1020,779,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5608,0,0,0,0,0,0,0,0,12,0
1975,January,,4,2,0,100,0,0,526,387,0,80,0,100,0,30,0,5,0,2,0,0,0,0,0,1025,0,0,0,0,0,0,0,0,15,0
1975,January,,4,3,0,4456,0,0,612,576,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,5,0,0,0,307,0
1975,January,,4,4,0,3779,0,0,194,44,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1975,January,,4,5,0,18049,3405,0,3663,3127,914,255,0,6,0,275,0,7,0,170,0,0,0,0,167,0,0,0,0,0,4,0,0,0,14,0
1975,January,,4,6,0,6700,0,0,816,668,381,1172,0,544,325,404,3,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
1975,January,,4,7,0,1460,0,0,1306,308,0,356,0,44,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,28,0
1975,January,,4,8,0,3159,0,0,626,129,350,7,0,127,20,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0
1975,January,,4,9,500,400,0,0,201,15,0,0,0,0,0,0,0,660,0,7,10,0,0,0,46,0,0,0,0,12,248,23,0,0,0,0
1975,January,,4,10,0,20,0,0,82,1,5,0,0,0,0,0,0,0,0,8,0,0,0,0,54,902,0,0,0,0,219,14,0,0,0,0
1975,January,,4,11,0,626,0,0,310,2,0,0,0,0,19,8,0,750,0,0,0,0,0,0,9,0,0,0,0,0,78,19,0,3,4,0
1975,October,,5,1,0,0,0,0,48,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0
1975,October,,5,2,0,0,0,0,262,70,50,75,0,50,5,1,5,0,0,0,25,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0
1975,October,,5,3,0,10885,0,0,501,454,0,790,0,8,15,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,0,10,0,0,0,0
1975,October,,5,4,0,14430,0,0,424,328,5,2400,0,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,October,,5,5,0,70432,2470,0,1999,1178,830,2250,25,60,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,October,,5,6,0,21656,3,0,955,236,125,1530,0,1450,928,250,0,10,0,225,0,0,0,0,5,0,0,0,0,2,0,0,0,3,0,0
1975,October,,5,7,0,6807,4,0,670,98,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
1975,October,,5,8,0,4590,210,0,1441,220,809,177,50,100,80,85,53,0,0,0,0,0,0,0,53,0,0,0,0,72,0,0,0,3,0,0
1975,October,,5,9,0,25,0,0,14,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,31,12,0,0,0,0,0
1975,October,,5,10,0,0,0,0,199,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,October,,5,11,0,163,0,0,370,35,5,0,0,0,0,0,59,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,24,0,0
1975,November,,6,1,0,250,0,0,160,5,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1678,0,0,0,0,0,0,0,0,0,0
1975,November,,6,2,0,0,0,0,165,102,0,0,0,1,0,0,0,8,0,9,0,0,0,0,0,735,0,0,0,0,2,0,0,0,0,0
1975,November,,6,3,0,7262,0,0,309,427,301,10,0,40,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0
1975,November,,6,4,0,3152,400,0,63,119,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,November,,6,5,0,19755,7107,0,1809,982,1280,1435,0,456,32,305,4,0,0,295,0,0,0,0,145,75,0,0,0,225,15,0,0,0,38,0
1975,November,,6,6,0,6134,0,0,892,706,156,2793,0,315,50,496,0,21,0,59,0,0,0,0,167,423,0,0,0,5,88,0,0,0,0,0
1975,November,,6,7,0,1207,0,0,336,107,0,240,0,3,0,0,30,0,0,400,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0
1975,November,,6,8,0,0,600,0,1003,97,172,1188,0,13,0,100,0,0,0,300,0,0,0,0,17,36,0,0,0,100,0,0,0,0,3450,0
1975,November,,6,9,200,475,0,0,65,14,0,0,0,0,0,0,0,102,0,0,0,0,0,0,267,114,0,0,0,261,337,0,0,0,0,0
1975,November,,6,10,525,0,0,0,27,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,35,45,0,0,0,0,0
1975,November,,6,11,0,360,200,0,387,67,10,10,0,0,0,25,10,150,0,30,0,0,0,0,34,250,0,0,0,0,4,2,0,8,0,0
1975,December,,7,1,0,200,0,0,152,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362,0,0,0,0,0,0,0,0,0,0
1975,December,,7,2,0,75,0,0,473,582,5,0,0,0,3,100,0,0,0,0,0,0,0,0,0,754,0,0,0,0,0,0,0,0,0,0
1975,December,,7,3,0,3398,31,0,764,392,5,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,600,0
1975,December,,7,4,0,2695,0,0,99,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
1975,December,,7,5,0,9451,2489,0,1289,1050,176,230,0,5,0,62,0,0,0,0,0,0,0,0,45,20,0,0,0,0,25,0,0,0,0,0
1975,December,,7,6,0,2853,0,0,1505,996,944,560,0,437,135,247,0,37,0,85,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0
1975,December,,7,7,0,1511,0,0,604,134,5,5,0,20,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
1975,December,,7,8,0,2817,1500,0,896,210,84,300,0,40,30,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,December,,7,9,300,300,0,0,71,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,0,0,0
1975,December,,7,10,850,0,0,0,8,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
1975,December,,7,11,0,325,0,0,440,144,0,0,0,0,0,0,0,300,0,0,0,0,0,0,10,50,0,0,0,0,0,0,0,8,0,0
1976,January,,8,1,0,297,200,0,2008,375,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,1523,0,0,0,0,0,0,0,0,0,0
1976,January,,8,2,0,825,0,0,420,55,0,0,0,0,0,0,0,5,0,5,2,0,0,0,25,261,0,0,0,0,10,0,0,0,4,0
1976,January,,8,3,0,7146,0,0,208,88,0,0,0,0,0,0,0,0,0,25,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0
1976,January,,8,4,0,6429,0,0,756,121,100,0,0,0,0,0,0,3,0,29,0,0,0,0,1,25,0,0,0,0,0,0,0,0,20,0
1976,January,,8,5,0,31554,1870,0,6449,18333,1021,0,0,155,3,3,0,10,0,0,0,0,0,0,14,0,0,0,0,0,15,0,0,0,31,0
1976,January,,8,6,0,7339,2140,0,3445,2162,1946,0,0,5,160,320,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,109,0
1976,January,,8,7,0,3986,0,0,1924,1082,55,0,0,0,2,0,2,0,0,550,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0
1976,January,,8,8,0,2897,900,0,576,172,620,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,January,,8,9,1100,340,0,0,169,55,0,0,0,0,0,0,0,0,3,530,0,0,0,0,117,0,0,0,0,45,26,28,0,0,0,0
1976,January,,8,10,35,30,0,0,148,2,31,0,0,0,0,0,0,1005,0,750,5,0,0,0,288,0,0,0,0,0,131,193,0,0,0,0
1976,January,,8,11,0,400,0,0,553,285,2,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,63,0,0,17,225,0
1976,October,,9,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
1976,October,,9,2,0,0,0,0,69,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0
1976,October,,9,3,0,11101,0,0,612,870,725,700,0,50,50,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1976,October,,9,4,0,29710,0,0,352,1446,5,430,0,0,0,0,53,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0
1976,October,,9,5,0,36800,773,0,2074,905,2609,4195,0,161,8,0,25,0,0,2,0,0,0,0,75,0,0,0,0,62,0,0,0,0,0,0
1976,October,,9,6,0,14084,0,0,2098,959,1656,3310,0,94,70,274,0,0,0,1925,0,0,0,0,19,0,0,0,0,0,0,3,0,0,0,0
1976,October,,9,7,0,2282,0,0,756,208,855,275,0,94,25,10,28,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
1976,October,,9,8,0,3775,250,0,1456,1305,2021,1420,0,210,15,0,11,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0
1976,October,,9,9,30,185,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,1,0,0
1976,October,,9,10,0,10,0,0,105,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,October,,9,11,0,400,0,0,660,158,150,150,0,10,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,23,0,0
1976,November,,10,1,0,61,0,0,173,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,952,0,0,0,0,4,0,0,0,9,0
1976,November,,10,2,0,835,0,0,171,80,52,0,0,12,0,5,0,0,0,3,0,0,0,0,0,137,0,0,0,0,0,0,0,0,6,0
1976,November,,10,3,0,16251,0,0,563,627,0,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
1976,November,,10,4,0,19945,0,0,185,157,5,30,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0
1976,November,,10,5,0,33030,2405,0,2715,3609,30,950,0,322,57,410,0,25,0,769,56,0,0,0,15,295,0,0,0,0,10,0,0,0,1,0
1976,November,,10,6,0,20526,125,0,4265,2146,975,3012,0,1217,530,2094,3,50,0,7013,0,0,0,0,40,305,0,0,0,0,70,0,0,0,0,0
1976,November,,10,7,0,7290,50,0,1473,853,340,822,0,176,15,0,0,35,0,440,15,0,0,0,5,10,0,0,0,75,12,0,0,0,0,0
1976,November,,10,8,0,6485,2600,0,1134,375,3180,257,0,245,25,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,0
1976,November,,10,9,2830,2500,0,0,151,54,0,0,0,0,0,0,0,1500,0,200,0,0,0,0,10,52,0,0,0,42,76,0,0,0,0,0
1976,November,,10,10,1910,0,3,0,178,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,298,2,0,0,0,0
1976,November,,10,11,0,1650,0,0,1858,260,202,100,0,100,100,0,0,900,0,0,0,0,0,0,4,0,0,0,0,0,90,200,0,0,0,0
1976,December,,11,1,0,165,0,0,1434,254,12,0,0,0,0,0,0,0,0,1500,0,0,0,0,16,4532,0,0,0,0,0,0,0,0,5,0
1976,December,,11,2,0,10818,0,0,1843,743,0,0,0,2,0,0,0,0,0,5,3,0,0,0,156,375,0,0,0,0,5,0,0,0,0,0
1976,December,,11,3,0,14605,1000,0,128,418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527,0
1976,December,,11,4,0,23861,0,0,201,112,10,0,0,0,0,0,0,50,0,0,0,0,0,0,1,35,0,0,0,0,0,0,0,0,30,0
1976,December,,11,5,0,34451,1950,0,5134,14536,1127,110,0,29,0,5,0,30,0,5020,10,0,0,0,3,30,0,0,0,0,41,1,0,0,7,0
1976,December,,11,6,0,21187,700,0,6718,7677,2560,500,0,370,450,107,0,0,0,4747,10,0,0,0,3,30,0,0,0,0,35,0,0,0,28,0
1976,December,,11,7,0,10098,0,0,1225,115,0,0,0,0,0,0,0,0,0,370,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0
1976,December,,11,8,0,5665,900,0,2789,751,92,0,0,36,0,0,0,0,0,14,0,0,0,0,56,7,0,0,0,4,0,0,0,0,2,0
1976,December,,11,9,4550,925,0,0,786,265,0,0,0,0,0,0,0,4,0,350,0,0,0,0,825,420,0,0,0,0,344,462,0,0,0,0
1976,December,,11,10,500,1030,0,0,762,175,200,0,0,0,0,0,0,1950,0,0,0,0,0,0,25,210,0,0,0,0,294,150,0,0,0,0
1976,December,,11,11,0,1550,0,0,1113,1104,85,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
1977,January,,12,1,0,205,0,0,273,106,0,0,0,0,0,0,0,25,0,0,0,0,0,0,6,1220,0,0,0,0,0,0,0,0,0,0
1977,January,,12,2,0,225,0,0,190,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,15,0,0,0,0,0,3,0,0,0,0
1977,January,,12,3,0,40570,0,0,46,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,4,0,0,420,0
1977,January,,12,4,0,12561,0,0,710,113,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,January,,12,5,0,29353,1600,0,16134,19951,210,0,0,21,0,0,0,50,0,152,0,0,0,0,4,50,0,0,0,0,0,0,0,0,1,0
1977,January,,12,6,0,19583,0,0,1683,780,0,0,0,50,10,50,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,January,,12,7,0,17790,60,0,1732,479,0,0,0,0,0,0,0,0,0,135,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0
1977,January,,12,8,0,5289,0,0,304,31,0,0,0,30,20,0,0,0,0,11,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
1977,January,,12,9,2160,3012,0,0,1004,460,0,0,0,0,0,0,0,0,0,250,0,0,0,0,12,5,0,0,0,10,114,20,4,0,0,0
1977,January,,12,10,4175,0,0,0,1220,215,0,0,0,0,0,0,0,2462,0,410,0,0,0,0,711,2010,0,0,0,0,384,0,0,0,0,0
1977,January,,12,11,0,5850,0,0,1810,550,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,270,50,0,0,4,0
1977,October,,13,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1977,October,,13,2,0,2,0,0,254,99,550,550,0,75,104,10,100,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0
1977,October,,13,3,0,28590,0,0,817,1663,3297,2042,0,220,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,October,,13,4,0,12257,0,0,397,837,25,1667,0,50,0,75,4,0,0,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0,0,0
1977,October,,13,5,0,69328,653,0,1759,1586,1840,2079,225,496,187,63,7,0,0,0,0,0,0,0,203,3,0,0,0,0,0,0,0,6,0,0
1977,October,,13,6,0,12522,25,0,1265,589,9,883,40,193,1169,587,0,0,0,0,0,0,0,0,2,25,0,0,0,0,0,0,0,0,0,0
1977,October,,13,7,0,9410,0,0,1425,310,305,3574,0,100,30,20,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,October,,13,8,0,4530,0,0,373,25,800,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,October,,13,9,0,104,0,0,60,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0
1977,October,,13,10,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,October,,13,11,0,1730,0,0,1320,150,550,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1977,November,,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
